TaxID	NAME	GOTTCHA	GOTTCHA2	BWA	KRAKEN2	METAPHLAN2	PANGIA	DIAMOND	CENTRIFUGE	
2819511	Lachnoanaerobaculum sp. Marseille-Q4761							v	
164114	Streptomyces luridiscabiei							v	
1403918	Staphylococcus aureus M1545						v		
888813	Streptococcus sanguinis SK330					v			
18055			v						
1922471	Beihai noda-like virus 18			v	v		v	v	v
68259	Streptomyces purpurogeneiscleroticus							v	
2758571	Streptomyces sp. SP18CM02							v	
874454	Pseudoalteromonas arabiensis				v			v	
1157004	Staphylococcus aureus M0001					v			
421115	Microbacterium marinum							v	
15723			v						
1673719	Anaerococcus jeddahensis							v	
1739513	Enterococcus sp. HMSC076D08							v	
1463898	Streptomyces sp. NRRL S-31							v	
1258572	Escherichia phage EC1-UPM				v				v
710			v						
2493639	Fluviispira sanaruensis								v
1636425	Burkholderia sp. MSMB1589WGS							v	
929439	Leishmania mexicana MHOM/GT/2001/U1103					v			
303379	Herminiimonas							v	
1739321	Streptococcus sp. HMSC070A10							v	
747491	Borreliella burgdorferi CA8					v			
25436			v						
1007122	Marinimicrobia bacterium SCGC AAA160-C11					v			
1340820	Mycobacterium phage Jabbawokkie	v		v	v	v	v	v	v
376850	Lumpy skin disease virus NW-LW			v					
507488	Cynomolgus adenovirus 1			v	v		v	v	v
580332	Sideroxydans lithotrophicus ES-1	v		v	v	v	v		v
13603	Istiompax indica		v						
1619248								v	
1642570	Paenibacillus sp. DMB20							v	
104099	Acetobacter orleanensis							v	
1498499	Legionella norrlandica							v	
156979	Pseudoglutamicibacter cumminsii							v	
85072	Allochromatium							v	
15457			v						
300942	Turnip mosaic virus (isolate UK1)			v					
1761755	Bacillus sp. 491mf							v	
981212	Helicobacter pylori NQ315					v			
1262518	Leuconostoc phage LN25	v		v	v		v	v	v
2725606	Microbacterium phage Phedro				v				
1454905	Rotavirus A RVA/Human-wt/BTN/BTN-54/2010/G12P[6]			v					
1244112	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358			v	v				v
657326	Flavobacterium beibuense							v	
24139			v						
1822258	Alcanivorax sp. HI0083							v	
1154850	Streptococcus agalactiae STIR-CD-22					v			
1736267	Pseudomonas sp. Leaf127							v	
2267264	Alteromonas sp. RKMC-009				v			v	v
223317	Sida golden yellow vein virus			v		v			
1981708	Pseudomonas sp. R11(2017)							v	
2711156	Rhizorhabdus sp. MK52				v				v
1963835	Arboricoccus pini							v	
2590	Plasmid pKYM		v						
2885908	Bacillus phage WBeta	v		v		v	v	v	v
3750	Malus domestica		v						
1479235	Halomonas sp. HL-48							v	
2744519	Mesorhizobium sp. 131-2-5				v			v	
2576777	Chryseobacterium mulctrae							v	
13787	Trebouxia asymmetrica		v						
14971			v						
2795526	Bacillus sp. V3				v			v	
1391647	Clostridium sp. Ade.TY							v	
10414	Hepatitis B virus LSH/chimpanzee		v						
2552946	Cedecea colo							v	
1961362	Sphingomonas sp. NIC1			v	v			v	v
170	Leptospiraceae		v						
67081	Mycolicibacterium alvei				v			v	v
4873	Gigaspora		v						
44680	Magicicada septendecula		v						
268940	Maize streak virus - A[Vaalhart maize]			v					
1843371	Acinetobacter guerrae							v	
1120765	Flavivirus muscovy/SD/China/2011			v					
123899	Bordetella trematum			v	v		v	v	v
1419482	Chitinophaga jiangningensis							v	
1691903	Mangrovibacter phragmitis							v	
2116	Mycoplasma iowae		v		v			v	v
1138170	Rhizobium aethiopicum							v	
1907394	Paenibacillus sp. RU4T							v	
37816	Rickettsia honei							v	
450366	Vogesella perlucida							v	
27403	Bosmina longirostris		v						
1788456	Eothenomys eleusis hantavirus FUGV				v				
310779	Streptomyces yanglinensis							v	
1917868	Blautia marasmi							v	
1398040	Staphylococcus aureus M1423						v		
875323	Rose leaf curl virus	v		v	v		v	v	v
1477431	Streptomyces albidoflavus group							v	
1577897	Leisingera sp. ANG-DT							v	
1702169	Pseudoalteromonas sp. SW0106-04							v	
1411991	Banana streak VN virus	v		v	v		v	v	v
2782473	Pasteurella sp. 19428wF3_WM03							v	
2676294	Burkholderia sp. BCC1640							v	
1923187	Hubei rhabdo-like virus 3			v	v		v	v	v
1634484	Badger associated gemykibivirus 1	v		v	v		v	v	v
1700846	Lysinibacillus sp. F5							v	
11615	Tomato spotted wilt virus (Hawaiian isolate)		v						
1320554	Afipia sp. NBIMC_P1-C3							v	
2169988	Barley yellow dwarf virus kerIII				v				
262728	Haemophilus influenzae R2866	v		v	v	v			v
128790	Bean rugose mosaic virus			v	v		v	v	v
1983409	Acinetobacter phage WCHABP1				v				v
207	Campylobacter jejuni-like bacterium		v						
169963	Listeria monocytogenes EGD-e	v		v	v	v	v		v
2259638	Dickeya lacustris							v	
1248420	Streptococcus intermedius BA1					v			
1214121	Xylella fastidiosa 32					v			
1300222	Brevibacillus borstelensis AK1					v			
172394	Tomato mottle leaf curl virus			v	v		v	v	v
937774	Taylorella equigenitalis MCE9	v		v		v			
880070	Cyclobacterium marinum DSM 745	v		v	v	v	v		v
2740807	Aquisalimonas sp. 2447				v				
1852566	Bacillus phage Smudge			v					
2628852	unclassified Photobacterium							v	
109266	Anabaenopsis circularis							v	
271865	[Ochrobactrum] quorumnocens			v	v			v	v
525897	Desulfomicrobium baculatum DSM 4028	v		v	v	v	v		v
13833	Ophioglossum		v						
19464			v						
1715037	Neisseria sp. HMSC064F03							v	
2175092	Streptomyces sp. BSE7F							v	
25649			v						
1891191	Pelagibacteraceae bacterium ETNP-OMZ-SAG-E2							v	
1981504	Janthinobacterium sp. GW458P							v	
1386004	Listeria monocytogenes serotype 1/2a str. 10-0819				v				
240521	Rhizobium daejeonense				v				v
1881069	Pelagibacterium sp. H642							v	
1889780	Gaetbulibacter sp. 5U11							v	
2663840	Bradyrhizobium sp. CIR48							v	
2036207	Glutamicibacter sp. V16R2B1							v	
296738	Pneumonia virus of mice 15			v					
1175507	Ludwigia leaf curl distortion betasatellite			v					
1736463	Microbacterium sp. Root1433D1							v	
208199	Alkalihalobacillus hwajinpoensis							v	
16096			v						
883081	Alloiococcus otitis ATCC 51267					v			
506521	uncultured bacterium BLR3							v	
1297569	Mesorhizobium metallidurans STM 2683					v			
20096			v						
57497	Deinococcus radiopugnans			v			v	v	v
2620350	unclassified Rugamonas							v	
2584941	Rhodobacter sediminicola							v	
889956	Prochlorococcus phage MED4-213	v		v	v	v	v	v	v
589161	Gordonia spumicola							v	
2301193	Balneatrichaceae							v	
876138	Streptococcus agalactiae FSL S3-026					v			
120686	human papillomavirus 71			v	v		v		v
1736471	Duganella sp. Root1480D1							v	
19869			v						
9904	Bos gaurus		v						
1958917	Pectobacterium phage vB_PatP_CB1				v				
11964			v						
2793822	Bradyrhizobium sp. BRP20							v	
1894995	Rotavirus A RVA/Human-wt/KEN/KDH64/2011/G8P[4]			v					
1743411	Gorilla anellovirus			v	v		v	v	v
1715206	Staphylococcus sp. HMSC077H01							v	
1469906	Heterobasidion partitivirus 13				v		v		v
1678078	Mollivirus sibericum			v	v		v	v	v
1582154	Clostridium phage phiCD505			v	v		v	v	v
10751			v						
1042878	Cupriavidus necator N-1	v		v	v	v	v		v
1567472	Mycobacterium phage Malithi			v	v		v	v	v
24706			v						
20991			v						
47834	Spiroplasma kunkelii							v	
2676099	Lentimonas sp. CC4							v	
459637	Pseudomonas sp. RW10S2							v	
1158609	Enterococcus moraviensis ATCC BAA-383					v			
679199	Alloprevotella rava F0323					v			
2881278	Faecalibacterium sp. CLA-AA-H283							v	
1746074	Xinzhou spider virus 3			v	v		v	v	v
1185664	Xanthomonas axonopodis pv. manihotis str. UA323					v			
1261225	Norovirus Hu/Norwalk/10204/2009/VNM			v					
7891			v						
22281			v						
77133	uncultured bacterium				v			v	
1397533	Marinobacter sp. EN3							v	
15515			v						
1339238	Staphylococcus sp. ZWU0021							v	
1236548	Bacillus inaquosorum KCTC 13429					v			
338116	Enterobacteria phage NC5			v					
1537504	Porphyromonas sp. COT-108 OH1349							v	
2731681	Pseudomonas campi				v				
6502	Aplysia limacina		v						
1923736	Wuhan insect virus 33			v	v		v	v	v
1294	Staphylococcus muscae			v	v				v
2054902	Rhodococcus sp. AQ5-07				v			v	v
1685768	Lake Sarah-associated circular virus-4			v	v		v	v	v
1086013	Gemmobacter megaterium							v	
931529	Aeromonas lusitana							v	
348686	Uncia uncia papillomavirus type 1			v					
1855380	Pseudomonas sp. Z003-0.4C(8344-21)				v			v	
782	Rickettsia prowazekii		v	v	v		v	v	v
1329902	Mannheimia haemolytica MhBrain2012					v			
2588093	Pantoea phage vB_PagM_AAM37				v				
707516	Norovirus Hu/GII-4/Saga2/2008/JP			v					
707495	Norovirus Hu/GII-4/Niigata2/2008/JP			v					
1091040	Lactococcus garvieae TB25					v			
19544			v						
70149	Measles virus strain Edmonston-Zagreb			v					
1581034	Bacillus sp. FJAT-21955							v	
1736359	Rhizobium sp. Leaf386							v	
1412522	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093538				v				
10713	Enterobacteria phage phi80			v	v		v	v	v
5748	Nannochloropsis		v						
2294156	Boa constrictor papillomavirus 1				v				v
1380575	Norovirus Hu/GII.12/CGMH40/2010/TW			v					
12115	Foot-and-mouth disease virus (strain A24 Cruzeiro)		v						
121429	Olive latent ringspot virus				v				
904785	Staphylococcus aureus subsp. aureus IS-157					v			
1415526	Caviid herpesvirus 2 str. CIDMTR			v					
2153364	Pedobacter sp. KBW01							v	
1856862	Mycobacterium sp. 1245805.9							v	
872	Desulfovibrio							v	
84595	Gordonia polyisoprenivorans				v			v	
1242096	Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3			v	v				v
1146			v						
540747	Roseovarius indicus				v			v	v
1232383	Corynebacterium glutamicum SCgG2	v		v	v	v			v
1313265	Thermocrinis sp. GBS							v	
1088721	Novosphingobium pentaromativorans US6-1			v	v	v	v		v
1913577	Gramella salexigens			v	v			v	v
89	Leptothrix discophora		v						
173362	Brachybacterium paraconglomeratum							v	
935863	Luteimonas sp. J29							v	
911121	Methanobrevibacter smithii TS146D					v			
11730	Simian immunodeficiency virus (AGM3 ISOLATE)		v						
1264737	Cronobacter phage vB_CskP_GAP227	v		v	v	v	v	v	v
13319			v						
2039288	Bombella mellum							v	
190478	Clostridium phage phi3626	v		v	v	v	v	v	v
1145167	Neisseria meningitidis 2001001					v			
185638	Culex pipiens densovirus	v		v	v	v	v	v	v
1402861	Priestia filamentosa			v	v	v		v	v
2086574	Psychrobacter sp. Marseille-P5312							v	
1513270	Marinagarivorans algicola							v	
18491			v						
1777878	Streptococcus sp. DD10							v	
2770786	Clostridioides sp. ES-S-0173-01							v	
198541	Streptococcus phage 315.4			v				v	
37263	Trachyrhachys kiowa		v						
1797110	Pontibacter flavimaris							v	
1675			v						
140892	Rickettsia conorii subsp. caspia A-167					v			
1318	Streptococcus parasanguinis		v		v			v	
1087451	Corynebacterium pseudotuberculosis 31			v	v	v			v
1825093	Thermogemmatispora tikiterensis							v	
1788301	Pseudomonas versuta			v	v			v	v
487214	Streptococcus pneumoniae Hungary19A-6	v		v	v				v
883092	Lactobacillus crispatus FB077-07					v			
164246	Seoul virus Hb8610			v					
354090	UR2 sarcoma virus	v		v	v	v	v	v	v
1345710	Yersinia pestis 1045				v				
2051410	Influenza B virus (B/Michigan/62/2017)						v		
747367	Mycobacterium tuberculosis HN878				v	v			
563194	Pediococcus acidilactici 7_4					v			
1912871	Malaciobacter canalis				v			v	v
1743159	Polynucleobacter yangtzensis							v	
1906273	Cellulosimicrobium sp. JZ28				v			v	
1115810	Streptococcus pyogenes UTSW-2					v			
10593	human papillomavirus 45			v					
358743	Enterocloster citroniae							v	
47903	Strawberry vein banding virus	v		v	v	v	v	v	v
879096	Hepatitis E virus rat/R63/DEU/2009				v		v		v
2867121	Streptomyces anthocyanicus group							v	
16804			v						
1410783	Staphylococcus aureus M12709						v		
184			v						
745365	Pisciglobus halotolerans							v	
2053078	Pectinobacterium phage PEAT2				v				v
1415146	Xylella phage Prado	v		v	v		v	v	v
1414738	Shigella phage pSb-1	v		v	v		v	v	v
391587	Kordia algicida OT-1					v			
908125	Okra enation leaf curl virus			v	v		v	v	v
2673	insertion sequences		v						
55213	Brenneria rubrifaciens				v				v
123738	Enterovirus Yanbian 96-83csf			v					
1105095	Rickettsia prowazekii str. Katsinyian			v	v	v	v		v
1452514	Sosuga virus	v		v	v		v	v	v
29763	Bolandra oregana		v						
674980	Chaetoceros salsugineum DNA virus					v			
2696356	Butyrivibrio virus Arawn				v				
1458705	Norovirus Hu/GII.6/HS245/2010/USA			v					
1906741	Jeongeupia sp. USM3			v	v			v	v
137658	Pseudomonas indica							v	
273168	Novosphingobium naphthalenivorans							v	
1074150	Streptococcus sobrinus TCI-194					v			
1739534	Corynebacterium sp. HMSC074C05							v	
2893	Petalonia fascia		v						
1608884	Staphylococcus sp. HMSC62B09							v	
2315691	Marine RNA virus BC-1				v				
2601107	Acinetobacter sp. YH12120							v	
1458859	Shewanella sp. phage 1/4	v		v	v		v	v	v
