LEVEL	TAXA	ADDITIVE	ASSIGNED
replicon	386622414	9	9
replicon	117622295	9	9
replicon	387615344	9	9
replicon	218698419	9	9
replicon	387605479	9	9
replicon	386637352	8	8
replicon	387828053	8	8
replicon	110640213	8	8
replicon	386602643	8	8
replicon	218547440	7	7
replicon	544574430	7	7
replicon	26245917	7	7
replicon	160895450	7	7
replicon	91209055	7	7
replicon	386627502	6	6
replicon	218534477	6	6
replicon	222154829	6	6
replicon	218687878	6	6
replicon	253796915	5	5
replicon	333996462	4	4
replicon	374982757	4	4
replicon	521458881	4	4
replicon	124383319	4	4
replicon	254558653	3	3
replicon	62401661	3	3
replicon	333911667	3	3
replicon	568136993	2	2
replicon	71893359	2	2
replicon	157781212	2	2
replicon	291297538	2	2
replicon	357407371	2	2
replicon	528816716	2	2
replicon	470211964	1	1
replicon	330835983	1	1
replicon	157418083	1	1
replicon	378982542	1	1
replicon	440679730	1	1
replicon	56694721	1	1
replicon	549728080	1	1
replicon	529218781	1	1
replicon	563651606	1	1
replicon	117918459	1	1
replicon	507519518	1	1
replicon	378976159	1	1
replicon	126447966	1	1
replicon	555928251	1	1
replicon	270358328	1	1
replicon	9626372	1	1
replicon	82524281	1	1
replicon	440285501	1	1
replicon	422933554	1	1
replicon	557307526	1	1
replicon	33598993	1	1
replicon	345301888	1	1
replicon	389861738	1	1
replicon	386585202	1	1
replicon	118615919	1	1
replicon	428303693	1	1
replicon	270358330	1	1
replicon	9626243	1	1
replicon	255987650	1	1
replicon	379699217	1	1
replicon	511628970	1	1
replicon	448824857	1	1
replicon	550443072	1	1
replicon	283783779	1	1
replicon	478686601	1	1
replicon	336246508	1	1
replicon	480527847	1	1
replicon	16758993	1	1
